codigo_postal,provincia,localidad,departamento,numero,piso,calle,razon_social,cuit_cuil,idsv
50573,Burgos,Las Palmas,Girona,8,951,Cuesta de Leopoldo Roig,Instalaciones Rueda S.A.,39489187589,1
12874,Badajoz,Granada,Albacete,8,96,Acceso de Roberta Delgado,Despacho Trujillo y asociados S.L.,79858011015,2
16483,Barcelona,La Coruña,Tarragona,6,956,Pasaje de José Arranz,Inversiones ZZMP S.A.,96375484063,3
29130,Badajoz,Santa Cruz de Tenerife,Guipúzcoa,4,95,Acceso Filomena Manuel,Fábrica Calderón & Asociados S.Coop.,28864849187,4
19380,Lugo,Ceuta,Álava,5,66,Alameda Charo Franco,Tejero & Asociados S.Coop.,48048239547,5
11064,Baleares,Burgos,La Rioja,7,33,Vial de Rita Cañizares,Transportes NOP S.Com.,73485772744,6
16614,Vizcaya,Cádiz,Granada,3,19,C. Apolonia Tejero,Grupo Aragonés S.C.P,61761067599,7
05322,Huesca,Barcelona,Albacete,1,930,Rambla de Cecilia Caballero,Fábrica Simó S.Com.,92129748563,8
33244,Salamanca,Cádiz,Lugo,8,62,Callejón de Custodia Peinado,Distribuciones Bustos y asociados S.L.,24688333013,9
07778,Asturias,Granada,Cádiz,3,96,Pasadizo Tecla Bernad,Suministros Osorio S.A.,56870560216,10
33752,Ávila,Asturias,Vizcaya,1,59,Calle de Rocío Pereira,Promociones Inteligentes S.A.U,48208819677,11
06427,Albacete,Alicante,Sevilla,5,230,Pasadizo de Samuel Garzón,Collado y Chamorro S.L.N.E,49113137631,12
17488,Girona,Barcelona,Asturias,1,16,Urbanización Nereida Piña,Grupo Montero S.Coop.,61026631780,13
37291,Albacete,Toledo,Lleida,1,71,Alameda Néstor Santamaría,Fábrica FL S.L.,53789822053,14
23865,Zaragoza,Valencia,Girona,4,4,Glorieta Tecla Casares,Baeza y asociados S.L.N.E,45348273640,15
51994,Toledo,Guadalajara,Tarragona,3,691,Via de Desiderio Cabezas,Grupo Albero S.Com.,16107655287,16
12221,Tarragona,Palencia,Guipúzcoa,3,129,Calle de Marcelino Niño,Leyre Iriarte Trujillo S.A.,21390530426,17
28409,La Rioja,La Coruña,Burgos,3,13,Glorieta de Leocadio Dueñas,Promociones MPKO S.Coop.,40841826555,18
39067,Granada,Jaén,Valencia,9,19,Via Ileana Bermudez,Barceló y asociados S.Coop.,91112747516,19
20718,Zaragoza,La Coruña,Madrid,9,152,Calle Vasco Cáceres,Suministros EQ S.L.,86219003519,20
